Konum;2019;2020;2021;Ortalama;STD sapma
METRO T1-KABATAS;3835572;1181327;21162;1679353,667;1955365,396
METRO T1-ZEYTINBURNU;4562618;1404330;22692;1996546,667;2327181,226
METRO ISTANBUL;1036869;20777;292;352646;592643,0157
METRO T1-BAGCILAR;3217571;1499853;30245;1582556,333;1595271,65
METRO T4-50.YIL BASTABYA;663631;799532;22853;495338,6667;414788,2585
METRO-M1 Esenler;4630935;3003907;81272;2572038;2305372,308
METRO T1-YAVUZSELIM;2748111;1423353;30353;1400605,667;1359021,787
038-Uzuncayir Metrobus Duragi Girisi;3267590;1044403;21124;1444372,333;1659779,194
METRO-T4 Habipler;1050828;527020;12348;530065,3333;519246,6978
METRO-M5 Uskudar;746772;967858;27919;580849,6667;491445,8225
METRO-M1 Esenler KYCIP;557030;374294;11349;314224,3333;277755,6698
METRO T1-MEHMET AKIF;2550931;912968;6054;1156651;1289820,061
METRO T4-YENIMAHALLE;982346;1430104;25335;812595;717604,0254
METRO-M5 Dudullu;214586;148668;1740;121664,6667;108962,1032
METRO T1-PAZARTEKKE;3125057;932544;13909;1357170;1598449,53
METRO T1-HASEKI;4648596;1396817;21016;2022143;2376320,395
METRO T1-GUNGOREN;5095436;2225420;42088;2454314,667;2534438,02
METRO T1-MERTER;2676472;1266283;25121;1322625,333;1326573,17
METRO T4-SAGMALCILAR;645005;698768;12518;452097;381634,4953
METRO-M4 Esenkent;3993583;2067771;52344;2037899,333;1970789,296
METRO-T1 Zeytinburnu;2584180;1386670;26455;1332435;1279724,724
METRO T1-GUNESTEPE;3240932;2078893;36342;1785389;1622330,951
METRO-M2 Yenikapi;898020;976150;21709;631959,6667;529934,4123
METRO T4-HACISUKRU;618168;751312;15303;461594,3333;392191,0209
METRO T1-SOGANLI;4909200;2388458;48607;2448755;2430857,436
METRO T1-AKINCILAR;3640713;1528270;26446;1731809,667;1815709,994
METRO T4-MESCIDI SELAM;637100;948669;19256;535008,3333;473042,4531
METRO T1-FINDIKLI;2078142;584419;12430;891663,6667;1066579,102
METRO-M3 Olimpiyat;2076041;1972761;56301;1368367,667;1137455,886
METRO-M4 Maltepe;1065017;1254615;40833;786821,6667;652963,3745
METRO T1-MITHATPASA;3076944;1719707;43745;1613465,333;1519387,874
METRO T1-GULHANE;1655201;450985;20562;708916;847294,2025
METRO T1-KARAKOY;7157583;2064924;38657;3087054,667;3667879,52
METRO-M1B Kirazli;183773;76892;991;87218,66667;91827,52809
METRO-M5 Umraniye Carsi;2722003;1178551;25191;1308581,667;1353100,041
METRO-M1B Ucyuzlu;36251;14980;125;17118,66667;18157,70884
METRO T4-BOSNA CUKURCESME;875560;1131104;20433;675699;581683,6185
METRO T4-DEMIRKAPI;817321;1073023;20066;636803,3333;549199,0367
METRO T4-TOPKAPI;468553;483131;7258;319647,3333;270635,2734
METRO-T1 Pazartekke;287022;122546;2588;137385,3333;142796,4616
METRO-M2 Seyrantepe;4065391;3562327;88227;2571981,667;2165651,468
